timestamp,bloom_id,seed,mood,entropy_score,bloom_factor,lineage_depth,flow_strength,pressure_zone
2025-05-27T02:25:54.694743,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T02:27:53.352263,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T02:28:30.662920,seed-∆test,seed-∆test,resilient,0.41683271125518795,1.1,1,1.1,high
2025-05-27T02:28:43.666231,seed-∆test,seed-∆test,resilient,0.41683271125518795,1.1,2,1.1,high
2025-05-27T02:33:21.939052,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T02:33:58.612652,seed-∆test,seed-∆test,resilient,0.336724050737875,1.1,1,1.1,high
2025-05-27T02:34:13.974865,seed-∆test,seed-∆test,resilient,0.336724050737875,1.1,2,1.1,high
2025-05-27T02:39:46.331222,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T02:40:24.228774,seed-∆test,seed-∆test,resilient,0.4460861232798694,1.1,1,1.1,high
2025-05-27T02:40:38.131473,seed-∆test,seed-∆test,resilient,0.4460861232798694,1.1,2,1.1,high
2025-05-27T03:04:42.023731,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T03:05:18.225860,seed-∆test,seed-∆test,resilient,0.5434998810956835,1.1,1,1.1,high
2025-05-27T03:05:31.554053,seed-∆test,seed-∆test,resilient,0.5434998810956835,1.1,2,1.1,high
2025-05-27T03:07:54.501148,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T03:08:30.211912,seed-∆test,seed-∆test,resilient,0.4049275523346953,1.1,1,1.1,high
2025-05-27T03:08:43.818361,seed-∆test,seed-∆test,resilient,0.4049275523346953,1.1,2,1.1,high
2025-05-27T03:25:51.573201,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T03:26:28.064828,seed-∆test,seed-∆test,resilient,0.4510625114344673,1.1,1,1.1,high
2025-05-27T03:26:42.226962,seed-∆test,seed-∆test,resilient,0.4510625114344673,1.1,2,1.1,high
2025-05-27T04:19:46.244337,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T04:20:24.654210,seed-∆test,seed-∆test,resilient,0.47616550493739496,1.1,1,1.1,high
2025-05-27T04:20:39.695559,seed-∆test,seed-∆test,resilient,0.47616550493739496,1.1,2,1.1,high
2025-05-27T04:26:29.072243,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T04:27:08.279124,seed-∆test,seed-∆test,resilient,0.5562011017044723,1.1,1,1.1,high
2025-05-27T04:27:22.404204,seed-∆test,seed-∆test,resilient,0.5562011017044723,1.1,2,1.1,high
2025-05-27T04:30:17.239661,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T04:30:55.054583,seed-∆test,seed-∆test,resilient,0.4773903276792111,1.1,1,1.1,high
2025-05-27T04:31:08.932749,seed-∆test,seed-∆test,resilient,0.4773903276792111,1.1,2,1.1,high
2025-05-27T04:39:30.451536,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T04:40:07.435855,seed-∆test,seed-∆test,resilient,0.3656821283505432,1.1,1,1.1,high
2025-05-27T04:40:21.607688,seed-∆test,seed-∆test,resilient,0.3656821283505432,1.1,2,1.1,high
2025-05-27T04:49:58.966228,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T04:50:37.313753,seed-∆test,seed-∆test,resilient,0.4070895363473942,1.1,1,1.1,high
2025-05-27T04:50:51.400664,seed-∆test,seed-∆test,resilient,0.4070895363473942,1.1,2,1.1,high
2025-05-27T05:28:12.807083,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T05:28:51.208018,seed-∆test,seed-∆test,resilient,0.333211781182478,1.1,1,1.1,high
2025-05-27T05:29:05.749613,seed-∆test,seed-∆test,resilient,0.333211781182478,1.1,2,1.1,high
2025-05-27T05:38:54.290423,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T05:39:33.422032,seed-∆test,seed-∆test,resilient,0.41740077233423556,1.1,1,1.1,high
2025-05-27T05:39:49.008314,seed-∆test,seed-∆test,resilient,0.41740077233423556,1.1,2,1.1,high
2025-05-27T06:30:24.895168,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T06:31:03.130806,seed-∆test,seed-∆test,resilient,0.5439181224519815,1.1,1,1.1,high
2025-05-27T06:31:17.241674,seed-∆test,seed-∆test,resilient,0.5439181224519815,1.1,2,1.1,high
2025-05-27T06:35:31.348845,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T06:36:09.113332,seed-∆test,seed-∆test,resilient,0.31397249858236737,1.1,1,1.1,high
2025-05-27T06:36:23.574371,seed-∆test,seed-∆test,resilient,0.31397249858236737,1.1,2,1.1,high
2025-05-27T17:50:23.577432,seed-∆2143FJ,seed-∆2143FJ,reflective,0.42,1.2,7,1.2,high
2025-05-27T17:51:06.386646,seed-∆test,seed-∆test,resilient,0.5939935884368286,1.1,1,1.1,high
2025-05-27T17:51:21.236783,seed-∆test,seed-∆test,resilient,0.5939935884368286,1.1,2,1.1,high
